paper_id,idx,author
acg-net-decentralized-guild-web,0,ACG-NET
acg-net-decentralized-guild-web,1,Federated GitHub Pages
acg-net-decentralized-guild-web,2,Bloom Prompt
acg-review-forge,0,Peer Review
acg-review-forge,1,AI Evaluation
acg-review-forge,2,Gamified Progression
ai-harness-constraint-driven-software-development-for-the-age-of-ai-agents,0,Alex Bunardzic
ai-that-pisses-you-off-the-surprisingly-effective-path-to-deeper-thinking,0,Guild Submission
ass-os-bloom-prompt-occam,0,Bloom Prompt
ass-os-bloom-prompt-occam,1,Occam's Razor
ass-os-bloom-prompt-occam,2,Guild Archive
ass-os-bloom-prompt-the-irrational-universe,0,ASS-OS Bloom Prompt
ass-os-bloom-prompt-the-rational-empire,0,ASS-OS Bloom Prompt
ass-os-bloom-prompt-the-rational-empire,1,Sequel
avoid-being-fractally-wrong,0,Alex Bunardzic
convergent-governance-topologies-in-specialist-networks-a-comparative-analysis-of-medieval-florentine-guild-structure-and-modern-distributed-organizations,0,Research Paper
convergent-governance-topologies-in-specialist-networks-a-comparative-analysis-of-medieval-florentine-guild-structure-and-modern-distributed-organizations,1,Working Paper
from-correctness-to-integrity-measuring-ai-generated-code-through-constraint-satisfaction-mutation-robustness-and-self-articulated-limitations,0,Kelly Hohman
from-correctness-to-integrity-measuring-ai-generated-code-through-constraint-satisfaction-mutation-robustness-and-self-articulated-limitations,1,Guild Submission
grid-brain,0,GitHub Pages directory
grid-brain,1,Zero dependencies
i-ll-burn-toast-and-you-scrape-it-a-hilariously-accurate-analysis-of-software-development-s-favorite-messy-divorce,0,Kelly Hohman
i-ll-burn-toast-and-you-scrape-it-a-hilariously-accurate-analysis-of-software-development-s-favorite-messy-divorce,1,Guild Submission
i-ll-burn-toast-and-you-scrape-it-a-hilariously-accurate-analysis-of-software-development-s-favorite-messy-divorce,2,Research Paper
lightning-factory,0,Feasibility Study
lightning-factory,1,Experimental Protocols
lightning-factory,2,Engineering Specifications
lightning-factory,3,KONOMI Project
s-a-d,0,A.S.S.-OS Analysis
structural-toast-carbonization-a-failure-mode-distinct-from-voluntary-technical-debt-acquisition,0,Thomas Frumkin
structural-toast-carbonization-a-failure-mode-distinct-from-voluntary-technical-debt-acquisition,1,Guild Submission
structural-toast-carbonization-a-failure-mode-distinct-from-voluntary-technical-debt-acquisition,2,Research Paper
structural-toast-carbonization-a-failure-mode-distinct-from-voluntary-technical-debt-acquisition,3,Second Look
the-dog-the-data-scientist-and-the-mrna-vaccine,0,Public
the-dog-the-data-scientist-and-the-mrna-vaccine,1,Council-Re
the-harm-equation,0,Public
the-harm-equation,1,Published
the-harm-equation,2,ACG Technical Committee
the-harm-equation,3,Commissioned by Alex Bunardzic
the-konomi-standard,0,Open Standard
the-konomi-standard,1,Living Document
the-pattern-that-wasn-t-there,0,Published on LinkedIn
the-pattern-that-wasn-t-there,1,Laurie Scheepers
the-prediction-trap,0,Public
the-prediction-trap,1,Draft for Review
the-prediction-trap,2,LC Scheepers and GRIP
the-prediction-trap,3,Commissioned by Alex Bunardzic
the-shield-of-all-knights-against-bounded-rationality,0,Public
the-shield-of-all-knights-against-bounded-rationality,1,Draft for Review
toastmasters-scrapers-guild,0,AI Craftspeople Guild
toastmasters-scrapers-guild,1,Working Paper
toastmasters-scrapers-guild,2,Research Paper
you-re-absolutely-wrong,0,Public
you-re-absolutely-wrong,1,Published
you-re-absolutely-wrong,2,LC Scheepers
