id,title,status,doc_number,date
acg-kcc-guild-chain,ACG-KCC: Guild Chain,published,,March 2026
acg-net-decentralized-guild-web,ACG-NET: Decentralized Guild Web,published,,March 2026
acg-review-forge,ACG Review Forge,published,,
ai-harness-constraint-driven-software-development-for-the-age-of-ai-agents,AI Harness: Constraint-Driven Software Development for the Age of AI Agents,published,ACG-WP-003-2026,2026-03-09
ai-that-pisses-you-off-the-surprisingly-effective-path-to-deeper-thinking,AI That Pisses You Off: The Surprisingly Effective Path to Deeper Thinking,published,,"March 28, 2026"
ass-os-bloom-prompt-occam,🌸 ASS-OS BLOOM PROMPT — OCCAM,knowledge-about-knowledge,,
ass-os-bloom-prompt-the-irrational-universe,🌸 ASS-OS BLOOM PROMPT — THE IRRATIONAL UNIVERSE,experimental,,March 2026
ass-os-bloom-prompt-the-rational-empire,🌸 ASS-OS BLOOM PROMPT — THE RATIONAL EMPIRE,experimental,,March 2026
avoid-being-fractally-wrong,Avoid Being Fractally Wrong,position,,"Apr 06, 2026"
convergent-governance-topologies-in-specialist-networks-a-comparative-analysis-of-medieval-florentine-guild-structure-and-modern-distributed-organizations,Convergent Governance Topologies in Specialist Networks: A Comparative Analysis of Medieval Florentine Guild Structure and Modern Distributed Organizations,published,,2026
from-correctness-to-integrity-measuring-ai-generated-code-through-constraint-satisfaction-mutation-robustness-and-self-articulated-limitations,"From Correctness to Integrity: Measuring AI-Generated Code Through Constraint Satisfaction, Mutation Robustness, and Self-Articulated Limitations",knowledge-about-knowledge,,"April 1, 2026"
grid-brain,Grid Brain,published,,
i-ll-burn-toast-and-you-scrape-it-a-hilariously-accurate-analysis-of-software-development-s-favorite-messy-divorce,"\""I'll Burn Toast and You Scrape It\"": A Hilariously Accurate Analysis of Software Development's Favorite Messy Divorce",published,,
lightning-factory,Lightning Factory,published,,March 2026
s-a-d,S.A.D.,position,,
structural-toast-carbonization-a-failure-mode-distinct-from-voluntary-technical-debt-acquisition,Structural Toast Carbonization: A Failure Mode Distinct from Voluntary Technical Debt Acquisition,published,,
the-dog-the-data-scientist-and-the-mrna-vaccine,"The Dog, the Data Scientist, and the mRNA Vaccine",published,ACG-WP-004-2026,March 2026
the-harm-equation,The Harm Equation,published,ACG-WP-002-2026,March 2026
the-konomi-standard,The Konomi Standard,published,,March 2026
the-pattern-that-wasn-t-there,The Pattern That Wasn't There,position,,22 February 2026
the-prediction-trap,The Prediction Trap,published,ACG-WP-003-2026,March 2026
the-shield-of-all-knights-against-bounded-rationality,The Shield of All Knights Against Bounded Rationality,published,,April 2026
toastmasters-scrapers-guild,Toastmasters Scrapers Guild,published,,2026
you-re-absolutely-wrong,"\""You're Absolutely Wrong!\",published,ACG-WP-001-2026,"Medium, 2 February 2026"
