member_id,tag
alex-bunardzic,Business Velocity
alex-bunardzic,CI/CD
alex-bunardzic,Mutation Testing
alex-bunardzic,Service Virtualization
alex-bunardzic,Shift-Left
alex-bunardzic,TDD
jona-heidsick,Agentic AI
jona-heidsick,Blockchain
jona-heidsick,Clean Code
jona-heidsick,Continuous Delivery
jona-heidsick,DDD/TDD
jona-heidsick,Declarative Programming
jona-heidsick,Extended Mind Theory
jona-heidsick,First-Principles
jona-heidsick,Functional Programming
jona-heidsick,MCP
kelly-hohman,Behavioral Health
kelly-hohman,Cultural Intelligence
kelly-hohman,Grounded AI
kelly-hohman,Historical Reality
kelly-hohman,Narrative Systems
kelly-hohman,Transpersonal Psychology
laurie-scheepers,160 Skills
laurie-scheepers,28 Agents
laurie-scheepers,30 Operating Modes
laurie-scheepers,53 Commands
laurie-scheepers,AGI R&D
laurie-scheepers,Critical Thinking
laurie-scheepers,Lean Advanced Tech
laurie-scheepers,Mechanical Safety Gates
laurie-scheepers,Quality Control
laurie-scheepers,Systems Thinking
laurie-scheepers,Technology for People
matt-burch,#keepbuilding
matt-burch,AI Consultancy
matt-burch,AI-Native Workflow
matt-burch,ActionScript to AI
matt-burch,Agentic Architecture
matt-burch,Emergent Tech
matt-burch,Full-Stack Engineering
matt-burch,Standards
nicolas-rosado,AI Best Practices
nicolas-rosado,Community Building
nicolas-rosado,Continuous Improvement
nicolas-rosado,Feedback Loops
nicolas-rosado,Human-Centric AI
nicolas-rosado,Meetups
nicolas-rosado,Mental Health
nicolas-rosado,Psychological Safety
nicolas-rosado,Sociable Programming
nicolas-rosado,Software Craftsmanship
thomas-frumkin,A.S.S.-OS
thomas-frumkin,Controls Engineering
thomas-frumkin,ISA-95
thomas-frumkin,Industrial Automation
thomas-frumkin,KCC
thomas-frumkin,Konomi Standard
tsvetan,AI-Assisted Development
tsvetan,BDD
tsvetan,DeSlopify Method
tsvetan,Hexagonal Architecture
tsvetan,Production-Grade Software
tsvetan,Small Steps
